URL,content_id,rendering_app,publishing_app,document_type,format,schema_name,taxon_title,taxon_base_path,taxon_description
https://www.gov.uk/government/collections/education-and-training-apprenticeships,00b6dc23-c5ed-4afa-9cac-ff775f70c85b,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/engineering-and-manufacturing-technologies-apprenticeships,5c33defe-344f-48bb-9193-68886ebf4aa8,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/entry-level-qualifications-requirements,602e20a6-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/evaluation-of-childrens-centres-in-england-ecce,5eb7fd0c-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/fe-choices-community-learning-survey-2013-to-2014,5f15b9f3-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/fe-choices-information-for-providers,5f15b9f3-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/fe-choices-national-reporting-employer-satisfaction-survey,f0bdb7e1-a2e6-4322-bbe8-6b78eedc650c,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/fe-data-library,5f1ad52e-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/free-school-applications,cef8538b-68a8-48fd-856b-84baf622201d,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/funding-allocations-and-performance-management-for-providers,5f13ff4c-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/funding-education-for-16-to-19-year-olds,5f10e6f3-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/further-education,5eb65bf6-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
